Chemical Elements Table,,,,,,,,,
Element,"Sym-
bol","Atomic
no.","Atomic
wt.","Specific
gravity","Melting
point
 °C","Boiling
point
 °C","No. of
isotopes1",Discoverer,Year
Actinium ,Ac ,89,2272,10.073,1051,3198,11,Debierne/Giesel,1899/1902
Aluminum ,Al ,13,26.981538,2.6989,660.32,2519,8,Wöhler ,1827
Americium ,Am ,95,2432,13.67,1176,2011,134,Seaborg et al. ,1944
Antimony ,Sb ,51,121.76,6.61,630.63,1587,29,Early historic times ,—
Argon ,Ar ,18,39.948,1.78375,-189.35,-185.85,8,Rayleigh and Ramsay ,1894
Arsenic (gray) ,As ,33,74.9216,5.73,817,603,14,Albertus Magnus ,1250
Astatine ,At ,85,2102,— ,302,—,21,Corson et al. ,1940
Barium ,Ba ,56,137.327,3.5,727,1897,25,Davy ,1808
Berkelium ,Bk ,97,2472,14.006,1050 (α form),—,84,Seaborg et al. ,1949
Beryllium ,Be ,4,9.012182,1.848,1287,2471,6,Vauquelin ,1798
Bismuth ,Bi ,83,208.98038,9.747,271.4,1564,19,Geoffroy the Younger,1753
Bohrium,Bh,107,2642,—,—,—,—,Armbruster and Münzenberg,1981
Boron,B ,5,10.811,2.377,2075,4000,6,"Gay-Lussac and
Thénard; Davy ",1808
Bromine ,Br ,35,79.904,3.125,-7.2,58.8,19,Balard ,1826
Cadmium ,Cd ,48,112.411,8.65,321.07,767,22,Stromeyer ,1817
Calcium,Ca ,20,40.078,1.55,842,1484,14,Davy ,1808
Californium ,Cf ,98,2512,— ,900,— ,124,Seaborg et al. ,1950
Carbon,C ,6,12.0107, 1.8–3.58 ,4492 (graphite),3825,7,Prehistoric ,—
Cerium ,Ce ,58,140.116,6.771,798,3443,19,Berzelius and Hisinger; Klaproth ,1803
Cesium ,Cs ,55,132.90545,1.873,28.5,671,22,Bunsen and Kirchoff ,1860
Chlorine ,Cl ,17,35.453,1.565,-101.5,-34.04,11,Scheele ,1774
Chromium ,Cr ,24,51.9961, 7.18-7.20 ,1907,2671,9,Vauquelin ,1797
Cobalt,Co ,27,58.9332,8.9,1495,2927,14,Brandt ,c.1735
Copper,Cu ,29,63.546,8.96,1084.62,2562,11,Prehistoric ,—
Curium ,Cm ,96,2472,13.513,1345,3100,134,Seaborg et al. ,1944
Darmstadtium,Ds,110,2812,— ,— ,— ,— ,S. Hofmann et al.,1994
Dubnium ,Db,105,2622,— ,— ,— ,— ,Ghiorso et al. ,1970
Dysprosium ,Dy ,66,162.5,8.54,1412,2567,21,de Boisbaudran ,1886
